job_due_date,client,job_num,job_name,invoice_num,pmod_or_freight,gross_billed,quantity,pricing,postal_prep,production_cost,per_piece,data_cost,postage_psi,data_po_num,three_point_five_percent_cc_fee,special_product_envelopes_env_printing,special_product_envelopes_env_printing_notes,paper_color_print_cost,paper_color_print_cost_notes,shipping_pmod_cost_finishes,shipping_per_piece,misc_cost_pmod_labor_purl_var_img,gross_cost,net_gross_margin_for_labor,sales_rep,comm_paid,new_client,gross_margin_per_piece,comments_descriptions,production_type,all_added_costs
2019-02-25,"MhetaData, Inc.",66099,"GCC ReAcquis n BB (6x9PC)",233175,None,9.24,14,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,25.42,-16.18," ",unknown,unknown,-1.16,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-05,"MhetaData, Inc.",66456,"GCC BINGO 6x9PC",233551,None,20.46,31,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,25.93,-5.47," ",unknown,unknown,-0.18,"White 20# White,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-05,"MhetaData, Inc.",66457,"GCC New Member Offers 6x9PC",233556,None,73.26,111,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,28.33,44.93," ",unknown,unknown,0.4,"White 20# White,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-05,"MhetaData, Inc.",66458,"GCC ReAcquis n BB (6x9PC)",233559,None,457.38,693,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,45.79,411.59," ",unknown,unknown,0.59,"White 20# White,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-11,DirectMailers,66772,"20190311 DirectMailers 8.5x11 Letter, 367 records with 1 inserts Duplex 4/4",233799,None,45.88,367,0.13,25,23.855,0.065,0,0,unknown,unknown,,,11.01,"Redstone Master Price Matrix algorithm: 
 |  added 0.03 + 0 because [color] = 4/0",,,0,59.865,-13.985," ",unknown,unknown,-0.04,"White 20# White,  ,  ",Letter," | frontColorCost = 0.03 |  | $BASE_COST = 0.065 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-11,"MhetaData, Inc.",66789,"GCC BINGO 6x9PC",233825,None,13.86,21,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,25.63,-11.77," ",unknown,unknown,-0.56,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-11,"MhetaData, Inc.",66790,"GCC New Member Offers 6x9PC",233826,None,74.58,113,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,28.39,46.19," ",unknown,unknown,0.41,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-11,"MhetaData, Inc.",66791,"GCC Reacq BB 6x9 PC",233827,None,6.6,10,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,25.3,-18.7," ",unknown,unknown,-1.87,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-18,"MhetaData, Inc.",67134,"GCC Bingo Paid2Play (6x9PC)",234169,None,19.14,29,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,25.87,-6.73," ",unknown,unknown,-0.23,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-18,"MhetaData, Inc.",67135,"GCC New Member Offers 6x9PC",234170,None,80.52,122,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,28.66,51.86," ",unknown,unknown,0.43,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-18,"MhetaData, Inc.",67136,"GCC ReAcquis n BB (6x9PC)",234171,None,13.2,20,0.66,25,0,0,0,0,unknown,unknown,,,,,,,0,25.6,-12.4," ",unknown,unknown,-0.62,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-23,"MhetaData, Inc.",67307,"GCC Michael Ray Postcards (6x9 3vers)",234346,None,343.09,3119,0.11,25,0,0,0,0,unknown,unknown,,,,,,,0,118.57,224.52," ",unknown,unknown,0.07,"White 20# White,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-25,"MhetaData, Inc.",67385,"GCC April Restaurant Rewards",234421,None,197.89,1799,0.11,25,0,0,0,0,unknown,unknown,,,,,,,0,78.97,118.92," ",unknown,unknown,0.07,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-26,"MhetaData, Inc.",67508,"GCC Bingo Paid2Play (6x9PC)",234498,None,14.52,22,0.66,25,0,0,0,12.1,unknown,unknown,,,,,,,0,25.66,-23.24," ",unknown,unknown,-1.06,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-26,"MhetaData, Inc.",67509,"GCC New Member Offers 6x9PC",234505,None,79.86,121,0.66,25,0,0,0,66.55,unknown,unknown,,,,,,,0,28.63,-15.32," ",unknown,unknown,-0.13,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
2019-03-26,"MhetaData, Inc.",67510,"GCC ReAcquis n BB (6x9PC)",234510,None,7.26,11,0.66,25,0,0,0,6.05,unknown,unknown,,,,,,,0,25.33,-24.12," ",unknown,unknown,-2.19,"Gloss Cover 100# Gloss Cover,  ,  ","Post Card"," | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | "
