Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
2641,E10WH-HW-FC-BOX,E,"#10 HALF WH FC BOX",240000,Each,,"0000-00-00 00:00:00",,,,0.01699,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"04/01/2020 6:31:15 pm",A-00456,"Double Envelope Company"
2642,PS8511-BLWDO,PS,"BLUE WDO PS 8.5X11",510000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,BLUE,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/01/2020 6:41:33 pm",A-00472,"Ennis - Baltimore"
2642,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"04/01/2020 6:41:33 pm",A-00472,"Ennis - Baltimore"
2648,E10BK-1W-FC-BOX,E,"#10 S/W BK FC BOX",240000,Each,,"0000-00-00 00:00:00",,,,0.01773,0.000000,0.000000,#10,"BROWN KRAFT",1W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/03/2020 1:16:04 pm",A-00457,"Double Envelope Company"
2648,E10BK-1W-SC-BOX,E,"#10 S/W BK STD BOX",240000,Each,,"0000-00-00 00:00:00",,,,0.01773,0.000000,0.000000,#10,"BROWN KRAFT",1W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/03/2020 1:16:04 pm",A-00457,"Double Envelope Company"
2673,P8511-60WH,P,"WHITE 60# 8.5X11",3520000,Each,,"0000-00-00 00:00:00",,,,0.00826,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"04/08/2020 7:28:09 pm",A-00485,"Veritiv - Baltimore"
2681,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.02725,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"04/10/2020 1:19:30 pm",A-00486,"Ennis - Baltimore"
2681,"INBOUND FREIGHT",,"INBOUND FREIGHT",1,Each,,"0000-00-00 00:00:00",,,,900,0.000000,0.000000,,,,,,"0000-00-00 00:00:00",,"04/10/2020 1:19:30 pm",A-00486,"Ennis - Baltimore"
2689,E10GR-1W-FC-BOX,E,"#10 S/W GREEN FC BOX 1935",160000,Each,,"0000-00-00 00:00:00",,,,0.01746,0.000000,0.000000,#10,GREEN,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/13/2020 4:50:13 pm",A-00457,"Double Envelope Company"
2689,E10GR-1W-SC-BOX,E,"#10 S/W GREEN STD BOX 1935",480000,Each,,"0000-00-00 00:00:00",,,,0.01746,0.000000,0.000000,#10,GREEN,1W,,"Letter, Print Other","0000-00-00 00:00:00",,"04/13/2020 4:50:13 pm",A-00457,"Double Envelope Company"
