Receipt,SKU,Category,Description,Quantity,UOM,"Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Size,Color,Window?,Special,Builds,Reserved,Client,"Received Date","PO# / Receipt#",Name
2497,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.0305,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"03/05/2020 9:45:26 am",A-00404,"Ennis - Denver"
2508,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",255000,Each,,"0000-00-00 00:00:00",,,,0.0305,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"03/06/2020 2:53:46 pm",A-00405,"Ennis - Denver"
2529,P8511-60WH,P,"WHITE 60# 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,3,0.0098,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"03/11/2020 10:36:52 am",A-00439,"Veritiv - Denver"
2530,E10WH-HW-SC-BOX,E,"#10 HALF WH STD BOX",110000,Each,,"0000-00-00 00:00:00",,,2,0.01995,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"03/11/2020 10:56:04 am",A-00392,"Southland Envelopes - Denver "
2530,E10WH-HW-FC-BOX,E,"#10 HALF WH FC BOX",110000,Each,,"0000-00-00 00:00:00",,,2,0.01995,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"03/11/2020 10:56:04 am",A-00392,"Southland Envelopes - Denver "
2531,E10GR-PW-SC-BOX,E,"#10 PISTOL WINDOW GREEN STD BOX 1935",160000,Each,,"0000-00-00 00:00:00",,,1,0.02245,0.000000,0.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"03/12/2020 4:24:56 pm",A-00403,"Southland Envelopes - Denver "
2531,E10GR-PW,E,"#10 PISTOL WINDOW GREEN BLANK ",80000,Each,,"0000-00-00 00:00:00",,,1,0.02215,0.000000,24.000000,#10,GREEN,PISTOL,,"Letter, Print Other","0000-00-00 00:00:00",,"03/12/2020 4:24:56 pm",A-00403,"Southland Envelopes - Denver "
2532,E10WH-HW,E,"#10 HALF WH BLANK",54000,Each,,"0000-00-00 00:00:00",,,2,0.01955,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"03/12/2020 4:27:31 pm",A-00392,"Southland Envelopes - Denver "
2545,E10WH-HW,E,"#10 HALF WH BLANK",54000,Each,,"0000-00-00 00:00:00",,,,0.01955,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"03/13/2020 7:01:02 am",A-00392,"Southland Envelopes - Denver "
2558,PS8511-BLKWHT-ZF,PS,"BLACK/WHITE Z-FOLD PS 8.5X11",120000,Each,,"0000-00-00 00:00:00",,,,0.0233,0.000000,0.000000,8.5X11,BLACK/WHITE,,,"Snap Pack, Letter, Print Other","0000-00-00 00:00:00",,"03/18/2020 7:16:04 am",A-00454,"Wilmer - Denver "
2558,PS8511-BLKWHT-HF,PS,"BLACK/WHITE HALF-FOLD PS 8.5X11",120000,Each,,"0000-00-00 00:00:00",,,,0.0233,0.000000,0.000000,8.5X11,BLACK/WHITE,,,"Snap Pack ","0000-00-00 00:00:00",,"03/18/2020 7:16:04 am",A-00454,"Wilmer - Denver "
2560,P8511-70WH,P,"WHITE 67.5# (70#) 8.5X11",50000,Each,,"0000-00-00 00:00:00",,,,0.01149,0.000000,0.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"03/18/2020 8:25:11 am",A-00461,"Veritiv - Denver"
2560,P8511-60WH,P,"WHITE 60# 8.5X11",600000,Each,,"0000-00-00 00:00:00",,,,0.0098,0.000000,60.000000,8.5X11,WHITE,,,"Letter, Snap Pack, Self Mailer, Print Other","0000-00-00 00:00:00",,"03/18/2020 8:25:11 am",A-00461,"Veritiv - Denver"
2563,PS8511-GRWDO,PS,"GREEN WDO PS 8.5X11",500000,Each,,"0000-00-00 00:00:00",,,,0.0305,0.000000,0.000000,8.5X11,GREEN,WINDOW,,"Snap Pack","0000-00-00 00:00:00",,"03/19/2020 11:00:56 am",A-00445,"Ennis - Denver"
2580,E10WH-HW,E,"#10 HALF WH BLANK",175000,Each,,"0000-00-00 00:00:00",,,,0.01875,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"03/24/2020 9:38:09 am",A-00441,"Colorado Envelope Inc."
2580,E10WH-HW-FC-BOX,E,"#10 HALF WH FC BOX",175000,Each,,"0000-00-00 00:00:00",,,,0.01915,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"03/24/2020 9:38:09 am",A-00441,"Colorado Envelope Inc."
2580,E10WH-HW-SC-BOX,E,"#10 HALF WH STD BOX",175000,Each,,"0000-00-00 00:00:00",,,,0.01915,0.000000,0.000000,#10,WHITE,HALF,,"Letter, Print Other","0000-00-00 00:00:00",,"03/24/2020 9:38:09 am",A-00441,"Colorado Envelope Inc."
